time,abgw_fds,instance
25_05_14:00,439,10.253.40.31:44444
25_05_14:05,444,10.253.40.31:44444
25_05_14:10,442,10.253.40.31:44444
25_05_14:15,434,10.253.40.31:44444
25_05_14:20,407,10.253.40.31:44444
25_05_14:25,447,10.253.40.31:44444
25_05_14:30,470,10.253.40.31:44444
25_05_14:35,465,10.253.40.31:44444
25_05_14:40,447,10.253.40.31:44444
25_05_14:45,476,10.253.40.31:44444
25_05_14:50,466,10.253.40.31:44444
25_05_14:55,430,10.253.40.31:44444
25_05_14:00,429,10.253.40.32:44444
25_05_14:05,448,10.253.40.32:44444
25_05_14:10,446,10.253.40.32:44444
25_05_14:15,448,10.253.40.32:44444
25_05_14:20,439,10.253.40.32:44444
25_05_14:25,455,10.253.40.32:44444
25_05_14:30,454,10.253.40.32:44444
25_05_14:35,449,10.253.40.32:44444
25_05_14:40,478,10.253.40.32:44444
25_05_14:45,482,10.253.40.32:44444
25_05_14:50,483,10.253.40.32:44444
25_05_14:55,469,10.253.40.32:44444
25_05_14:00,22,10.253.40.33:44444
25_05_14:05,23,10.253.40.33:44444
25_05_14:10,16,10.253.40.33:44444
25_05_14:15,8,10.253.40.33:44444
25_05_14:20,33,10.253.40.33:44444
25_05_14:25,65,10.253.40.33:44444
25_05_14:30,51,10.253.40.33:44444
25_05_14:35,20,10.253.40.33:44444
25_05_14:40,9,10.253.40.33:44444
25_05_14:45,15,10.253.40.33:44444
25_05_14:50,17,10.253.40.33:44444
25_05_14:55,26,10.253.40.33:44444
25_05_14:00,34,10.253.40.34:44444
25_05_14:05,25,10.253.40.34:44444
25_05_14:10,41,10.253.40.34:44444
25_05_14:15,88,10.253.40.34:44444
25_05_14:20,92,10.253.40.34:44444
25_05_14:25,30,10.253.40.34:44444
25_05_14:30,22,10.253.40.34:44444
25_05_14:35,28,10.253.40.34:44444
25_05_14:40,27,10.253.40.34:44444
25_05_14:45,26,10.253.40.34:44444
25_05_14:50,21,10.253.40.34:44444
25_05_14:55,16,10.253.40.34:44444
25_05_14:00,165,10.253.40.35:44444
25_05_14:05,87,10.253.40.35:44444
25_05_14:10,56,10.253.40.35:44444
25_05_14:15,51,10.253.40.35:44444
25_05_14:20,92,10.253.40.35:44444
25_05_14:25,86,10.253.40.35:44444
25_05_14:30,62,10.253.40.35:44444
25_05_14:35,57,10.253.40.35:44444
25_05_14:40,54,10.253.40.35:44444
25_05_14:45,35,10.253.40.35:44444
25_05_14:50,35,10.253.40.35:44444
25_05_14:55,37,10.253.40.35:44444
25_05_14:00,21,10.253.40.36:44444
25_05_14:05,23,10.253.40.36:44444
25_05_14:10,18,10.253.40.36:44444
25_05_14:15,0,10.253.40.36:44444
25_05_14:20,3,10.253.40.36:44444
25_05_14:25,4,10.253.40.36:44444
25_05_14:30,1,10.253.40.36:44444
25_05_14:35,6,10.253.40.36:44444
25_05_14:40,10,10.253.40.36:44444
25_05_14:45,17,10.253.40.36:44444
25_05_14:50,23,10.253.40.36:44444
25_05_14:55,21,10.253.40.36:44444
25_05_15:00,495,10.253.40.11:44444
25_05_15:05,461,10.253.40.11:44444
25_05_15:10,457,10.253.40.11:44444
25_05_15:15,446,10.253.40.11:44444
25_05_15:20,436,10.253.40.11:44444
