time,abgw_account_lookup_errs_total,instance
25_05_14:15,8,10.253.40.31:44444
25_05_14:20,8,10.253.40.31:44444
25_05_14:25,8,10.253.40.31:44444
25_05_14:30,8,10.253.40.31:44444
25_05_14:35,8,10.253.40.31:44444
25_05_14:40,8,10.253.40.31:44444
25_05_14:45,8,10.253.40.31:44444
25_05_14:50,8,10.253.40.31:44444
25_05_14:55,8,10.253.40.31:44444
25_05_14:00,5,10.253.40.32:44444
25_05_14:05,5,10.253.40.32:44444
25_05_14:10,5,10.253.40.32:44444
25_05_14:15,5,10.253.40.32:44444
25_05_14:20,5,10.253.40.32:44444
25_05_14:25,5,10.253.40.32:44444
25_05_14:30,5,10.253.40.32:44444
25_05_14:35,5,10.253.40.32:44444
25_05_14:40,5,10.253.40.32:44444
25_05_14:45,5,10.253.40.32:44444
25_05_14:50,5,10.253.40.32:44444
25_05_14:55,5,10.253.40.32:44444
25_05_15:00,10,10.253.40.11:44444
25_05_15:05,10,10.253.40.11:44444
25_05_15:10,10,10.253.40.11:44444
25_05_15:15,10,10.253.40.11:44444
25_05_15:20,10,10.253.40.11:44444
25_05_15:25,10,10.253.40.11:44444
25_05_15:30,10,10.253.40.11:44444
25_05_15:35,10,10.253.40.11:44444
25_05_15:40,10,10.253.40.11:44444
25_05_15:45,10,10.253.40.11:44444
25_05_15:50,10,10.253.40.11:44444
25_05_15:55,10,10.253.40.11:44444
25_05_15:00,17,10.253.40.12:44444
25_05_15:05,17,10.253.40.12:44444
25_05_15:10,17,10.253.40.12:44444
25_05_15:15,17,10.253.40.12:44444
25_05_15:20,17,10.253.40.12:44444
25_05_15:25,17,10.253.40.12:44444
25_05_15:30,17,10.253.40.12:44444
25_05_15:35,17,10.253.40.12:44444
25_05_15:40,17,10.253.40.12:44444
25_05_15:45,17,10.253.40.12:44444
25_05_15:50,17,10.253.40.12:44444
25_05_15:55,17,10.253.40.12:44444
25_05_15:00,7,10.253.40.13:44444
25_05_15:05,7,10.253.40.13:44444
25_05_15:10,7,10.253.40.13:44444
25_05_15:15,7,10.253.40.13:44444
25_05_15:20,7,10.253.40.13:44444
25_05_15:25,7,10.253.40.13:44444
25_05_15:30,7,10.253.40.13:44444
25_05_15:35,7,10.253.40.13:44444
25_05_15:40,7,10.253.40.13:44444
25_05_15:45,7,10.253.40.13:44444
25_05_15:50,7,10.253.40.13:44444
25_05_15:55,7,10.253.40.13:44444
25_05_15:00,19,10.253.40.14:44444
25_05_15:05,19,10.253.40.14:44444
25_05_15:10,19,10.253.40.14:44444
25_05_15:15,19,10.253.40.14:44444
25_05_15:20,19,10.253.40.14:44444
25_05_15:25,19,10.253.40.14:44444
25_05_15:30,19,10.253.40.14:44444
25_05_15:35,19,10.253.40.14:44444
25_05_15:40,19,10.253.40.14:44444
25_05_15:45,19,10.253.40.14:44444
25_05_15:50,19,10.253.40.14:44444
25_05_15:55,19,10.253.40.14:44444
25_05_15:00,9,10.253.40.15:44444
25_05_15:05,9,10.253.40.15:44444
25_05_15:10,9,10.253.40.15:44444
25_05_15:15,9,10.253.40.15:44444
25_05_15:20,9,10.253.40.15:44444
25_05_15:25,9,10.253.40.15:44444
25_05_15:30,9,10.253.40.15:44444
25_05_15:35,9,10.253.40.15:44444
25_05_15:40,9,10.253.40.15:44444
25_05_15:45,9,10.253.40.15:44444
25_05_15:50,9,10.253.40.15:44444
25_05_15:55,9,10.253.40.15:44444
25_05_15:00,12,10.253.40.17:44444
25_05_15:05,12,10.253.40.17:44444
25_05_15:10,12,10.253.40.17:44444
