time,abgw_detached_files,instance
25_05_14:55,0,10.253.40.28:44444
25_05_14:00,0,10.253.40.29:44444
25_05_14:05,0,10.253.40.29:44444
25_05_14:10,0,10.253.40.29:44444
25_05_14:15,0,10.253.40.29:44444
25_05_14:20,0,10.253.40.29:44444
25_05_14:25,0,10.253.40.29:44444
25_05_14:30,0,10.253.40.29:44444
25_05_14:35,0,10.253.40.29:44444
25_05_14:40,0,10.253.40.29:44444
25_05_14:45,1,10.253.40.29:44444
25_05_14:50,0,10.253.40.29:44444
25_05_14:55,0,10.253.40.29:44444
25_05_14:00,0,10.253.40.30:44444
25_05_14:05,0,10.253.40.30:44444
25_05_14:10,0,10.253.40.30:44444
25_05_14:15,0,10.253.40.30:44444
25_05_14:20,0,10.253.40.30:44444
25_05_14:25,0,10.253.40.30:44444
25_05_14:30,0,10.253.40.30:44444
25_05_14:35,0,10.253.40.30:44444
25_05_14:40,0,10.253.40.30:44444
25_05_14:45,0,10.253.40.30:44444
25_05_14:50,0,10.253.40.30:44444
25_05_14:55,0,10.253.40.30:44444
25_05_14:00,0,10.253.40.31:44444
25_05_14:05,0,10.253.40.31:44444
25_05_14:10,0,10.253.40.31:44444
25_05_14:15,0,10.253.40.31:44444
25_05_14:20,0,10.253.40.31:44444
25_05_14:25,0,10.253.40.31:44444
25_05_14:30,0,10.253.40.31:44444
25_05_14:35,0,10.253.40.31:44444
25_05_14:40,0,10.253.40.31:44444
25_05_14:45,0,10.253.40.31:44444
25_05_14:50,0,10.253.40.31:44444
25_05_14:55,0,10.253.40.31:44444
25_05_14:00,0,10.253.40.32:44444
25_05_14:05,0,10.253.40.32:44444
25_05_14:10,0,10.253.40.32:44444
25_05_14:15,0,10.253.40.32:44444
25_05_14:20,0,10.253.40.32:44444
25_05_14:25,0,10.253.40.32:44444
25_05_14:30,0,10.253.40.32:44444
25_05_14:35,0,10.253.40.32:44444
25_05_14:40,0,10.253.40.32:44444
25_05_14:45,0,10.253.40.32:44444
25_05_14:50,0,10.253.40.32:44444
25_05_14:55,0,10.253.40.32:44444
25_05_14:00,0,10.253.40.33:44444
25_05_14:05,0,10.253.40.33:44444
25_05_14:10,0,10.253.40.33:44444
25_05_14:15,0,10.253.40.33:44444
25_05_14:20,0,10.253.40.33:44444
25_05_14:25,0,10.253.40.33:44444
25_05_14:30,0,10.253.40.33:44444
25_05_14:35,0,10.253.40.33:44444
25_05_14:40,0,10.253.40.33:44444
25_05_14:45,0,10.253.40.33:44444
25_05_14:50,0,10.253.40.33:44444
25_05_14:55,0,10.253.40.33:44444
25_05_14:00,0,10.253.40.34:44444
